N(bin),P(bin),K(bin),Temp(bin),Humi(bin),ph(bin),rain(bin),tipo(bin)
01011010,00101010,00101011,010101,1010010,0111,011001011,00001
01010101,00111010,00101001,010110,1010000,0111,011100011,00001
00111100,00110111,00101100,010111,1010010,1000,100001000,00001
01001010,00100011,00101000,011010,1010000,0111,011110011,00001
01001110,00101010,00101010,010100,1010010,1000,100000111,00001
01000101,00100101,00101010,010111,1010011,0111,011111011,00001
01000101,00110111,00100110,010111,1010011,0110,100001111,00001
01011110,00110101,00101000,010100,1010011,0110,011110010,00001
01011001,00110110,00100110,011001,1010100,0111,011100110,00001
01000100,00111010,00100110,010111,1010011,0110,011011101,00001
01011011,00110101,00101000,011011,1010001,0101,100001001,00001
01011010,00101110,00101010,011000,1010001,1000,011111010,00001
01001110,00111010,00101100,011011,1010001,0101,100011100,00001
01011101,00111000,00100100,011000,1010010,0111,010111001,00001
01011110,00110010,00100101,011010,1010001,0111,011010010,00001
00111100,00110000,00100111,011000,1010000,0111,011100111,00001
01010101,00100110,00101001,010110,1010011,0110,100010101,00001
01011011,00100011,00100111,011000,1010000,0111,011001110,00001
01001101,00100110,00100100,010110,1010000,0110,011100001,00001
01011000,00100011,00101000,011000,1010100,0110,100100011,00001
01011001,00101101,00100100,010101,1010000,0110,010111001,00001
01001100,00101000,00101011,011001,1010011,0101,011100111,00001
01000011,00111011,00101001,010110,1010001,0110,011010101,00001
01010011,00101001,00101011,010101,1010011,0110,011101001,00001
01100010,00101111,00100101,010111,1010001,0111,011100000,00001
01000010,00110101,00101001,011001,1010001,1000,100000001,00001
01100001,00111011,00101011,011010,1010100,0110,100001111,00001
01100001,00110010,00101001,011001,1010001,0111,100000100,00001
00111100,00110001,00101100,010101,1010100,0110,011110000,00001
01010100,00110011,00100011,010110,1010001,0110,011000110,00001
01001001,00111001,00101001,010101,1010101,0110,100010000,00001
01011100,00100011,00101000,010110,1010000,0110,011001000,00001
01010101,00100101,00100111,011001,1010011,0110,011100001,00001
01100010,00110101,00100110,010100,1010010,0101,100001110,00001
01011000,00110110,00101100,011010,1010100,0110,011101001,00001
01011111,00110111,00101010,011011,1010010,0110,011000001,00001
01100011,00111001,00100011,011011,1010001,0110,100010000,00001
01011111,00100111,00100100,011000,1010011,0110,100011101,00001
00111100,00101011,00101100,010101,1010011,0111,100101010,00001
00111111,00101100,00101001,011000,1010100,0110,100000001,00001
00111110,00101010,00100100,010111,1010010,0110,011111001,00001
01000000,00101101,00101011,011010,1010100,0110,011010010,00001
01010011,00111100,00100100,011010,1010000,0111,011001001,00001
01010010,00101000,00101000,011000,1010101,0110,100101011,00001
01010101,00110100,00101101,011010,1010010,0111,100001010,00001
01011011,00100011,00100110,011001,1010001,0110,010111000,00001
01001100,00110001,00101010,011001,1010100,0101,011000101,00001
01001010,00100111,00100110,010111,1010101,1000,011101001,00001
01001111,00101011,00100111,010110,1010001,0111,011010011,00001
01011000,00110111,00101101,011001,1010000,1000,011111110,00001
00111100,00100100,00101011,010111,1010011,0101,011011100,00001
01001100,00111100,00100111,010100,1010000,0111,011010001,00001
01011101,00111000,00101010,011000,1010010,0111,011000011,00001
01000001,00111100,00101011,010110,1010010,0110,011100011,00001
01011111,00110100,00100100,011010,1010100,0110,100011111,00001
01001011,00100110,00100111,010111,1010101,0110,100011100,00001
01001010,00110110,00100110,011010,1010011,0111,011011001,00001
01011011,00100100,00101101,011000,1010010,0110,100001100,00001
01000111,00101110,00101000,010100,1010010,0111,011000000,00001
01100011,00110111,00100011,010110,1010000,0111,100010110,00001
01001000,00101000,00100110,010100,1010010,1000,011110101,00001
01010011,00111010,00101101,011010,1010100,0110,011110110,00001
01011101,00111010,00100110,010101,1010100,0111,100011000,00001
01000110,00100100,00101010,010110,1010001,0111,011001010,00001
01001100,00101111,00101010,010100,1010011,0110,100001000,00001
01100011,00101001,00100100,011000,1010011,0111,010110111,00001
01100011,00110110,00100101,010101,1010000,0110,011000111,00001
01010110,00111011,00100011,011010,1010010,0111,011110100,00001
01000101,00101110,00101001,011000,1010000,0101,100000111,00001
01011011,00111000,00100101,010111,1010001,0110,100001110,00001
00111101,00110100,00101001,011001,1010100,0111,011001101,00001
01000011,00101101,00100110,010111,1010010,0111,100000101,00001
01001111,00101010,00100101,011001,1010011,0111,100101000,00001
01001110,00101011,00101010,010101,1010011,0111,011000000,00001
01001011,00110110,00100100,011010,1010101,0111,100000001,00001
01100001,00100100,00101101,010110,1010010,0111,100010110,00001
01000011,00101111,00101100,011011,1010010,1000,100011000,00001
01001001,00100011,00100110,011001,1010010,0101,010111010,00001
01001101,00100100,00100101,011011,1010001,0110,011000011,00001
01010001,00101001,00100110,010111,1010100,1000,011001001,00001
01000100,00111001,00101011,011010,1010000,0110,010110111,00001
01001000,00101101,00100011,011001,1010011,0110,011000011,00001
00111101,00110101,00101011,011010,1010001,0110,011011111,00001
01000011,00101011,00100111,011010,1010101,0110,010111011,00001
01000011,00111010,00100111,011001,1010001,0101,011011100,00001
01000010,00111100,00100110,010110,1010011,0110,011101000,00001
01010010,00101011,00100110,010111,1010001,0101,011110010,00001
01010100,00110010,00101100,011001,1010001,0110,010110111,00001
